"speciesid","speciesname","taxon","conservation_status","listed"
"40733","Centroptilum sp. 1","Invertebrates","UNK",0
"47278","Crosbyella spinturnix","Invertebrates","UNK",0
"47272","Lirceus garmani","Invertebrates","UNK",0
"47273","Lirceus hoppinae","Invertebrates","UNK",0
"47274","Lirceus ouachitaensis","Invertebrates","UNK",0
"47275","Lirceus trilobus","Invertebrates","UNK",0
"47277","Loxosceles reclusa","Invertebrates","UNK",0
"47276","Macrocera nobilis","Invertebrates","UNK",0
"47279","Trigenotyla blacki","Invertebrates","1",0
"47281","Caecidotea montana","Invertebrates","UNK",0
"47280","Dugesia dorotocephala","Invertebrates","UNK",0
"40735","Stenelmis sp. 1","Invertebrates","UNK",0
"40730","Oecetis sp. F","Invertebrates","3",0
"40650","Pseudanophthalmus sp. 28","Invertebrates","1",0
"40653","Pseudanophthalmus sp. 29","Invertebrates","1",0
"40652","Pseudanophthalmus sp. 30","Invertebrates","1",0
"40647","Anillinus sp. 5","Invertebrates","1",0
"40651","Litocampa sp. 6","Invertebrates","1",0
"40648","Litocampa sp. 7","Invertebrates","1",0
"40649","Litocampa sp. 8","Invertebrates","1",0
"40644","Pseudotremia manni","Invertebrates","1",0
"40645","Pseudotremia roebuckorum","Invertebrates","1",0
"40646","Pseudotremia garlandae","Invertebrates","1",0
"44419","Phagocata morgani","Invertebrates","4",0
"40727","Habrophlebiodes spp.","Invertebrates","UNK",0
"40731","Stenelmis sp. 3","Invertebrates","UNK",0
"40725","Stenelmis sp. 2","Invertebrates","UNK",0
"40728","Oecetis sp. E","Invertebrates","2 ",0
"40734","Novisuccinea sp. 1 nr. chittenangoensis","Invertebrates","UNK",0
"40724","Lampsilis sp. 3","Invertebrates","UNK",0
"40732","Apameine new genus 2 sp. 2","Invertebrates","UNK",0
"40723","Culoptila thoracica","Invertebrates","4",0
"40736","Apameine new genus 2 sp. 1","Invertebrates","UNK",0
"40722","Triaenodes sp. C","Invertebrates","1",0
"40737","Oecetis sp. B","Invertebrates","1",0
"40726","Apameine new genus 2 sp. 3","Invertebrates","UNK",0
"40729","Zanclognatha sp. 2","Invertebrates","4",0
"44986","Rheopelopia acra","Invertebrates","UNK",0
"46082","Tathorhynchus exsiccata","Invertebrates","UNK",0
"46079","Apsectrotanypus johnsoni","Invertebrates","UNK",0
"46080","Bethbilbeckia floridensis","Invertebrates","UNK",0
"46081","Cantopelopia gesta","Invertebrates","UNK",0
"44423","Aleurodiscus farlowii","Fungi","3",0
"44426","Albatrellus ellisii","Fungi","4",0
"44424","Albatrellus avellaneus","Fungi","2 ",0
"44425","Neoalbatrellus caeruleoporus","Fungi","3",0
"44444","Polypus dispansus","Fungi","3",0
"44445","Xeroceps skamania","Fungi","1",0
"44446","Rhizopogon alexsmithii","Fungi","2 ",0
"44447","Rhizopogon olivaceotinctus","Fungi","2 ",0
"44448","Saproamanita armillariiformis","Fungi","2 ",0
"44449","Amanita malheurensis","Fungi","3",0
"44450","Amanita novinupta","Fungi","3",0
"44451","Lactarius silviae","Fungi","2 ",0
"44452","Lactarius crassus","Fungi","3",0
"44453","Lactarius lactarioides","Fungi","2 ",0
"44454","Armillaria viscidipes","Fungi","1",0
"44455","Arrhenia lobata","Fungi","5",0
"44456","Balsamia alba","Fungi","2 ",0
"44457","Balsamia platyspora","Fungi","2 ",0
"44458","Rubroboletus pulcherrimus","Fungi","3",0
"44459","Chroogomphus albipes","Fungi","3",0
"44460","Bryoglossum gracile","Fungi","4",0
"44461","Catathelasma ventricosum","Fungi","3",0
"44462","Cazia flexiascus","Fungi","2 ",0
"44463","Chamonixia caespitosa","Fungi","5",0
"44427","Chroogomphus loculatus","Fungi","3",0
"44428","Chrysomphalina grossula","Fungi","3",0
"44464","Clavariadelphus sachalinensis","Fungi","5",0
"44465","Clavariadelphus subfastigiatus","Fungi","3",0
"44467","Climacocystis borealis","Fungi","4",0
"44468","Clitocybe senilis","Fungi","3",0
"44469","Clitocybe subditopoda","Fungi","3",0
"44470","Conocybe utriformis","Fungi","2 ",0
"44471","Tolypocladium ophioglossoides","Fungi","3",0
"44472","Cortinarius barlowensis","Fungi","3",0
"44430","Cortinarius boulderensis","Fungi","3",0
"44431","Cortinarius cyanites","Fungi","3",0
"44473","Cortinarius depauperatus","Fungi","3",0
"44474","Cortinarius magnivelatus","Fungi","3",0
"44475","Cortinarius valgus","Fungi","3",0
"44476","Cortinarius verrucisporus","Fungi","3",0
"44477","Cortinarius wiebeae","Fungi","2 ",0
"44478","Muscinupta laevis","Fungi","3",0
"44429","Dendrocollybia racemosa","Fungi","2 ",0
"44479","Cortinarius humboldtensis","Fungi","1",0
"44480","Elaphomyces asperulus","Fungi","3",0
"44481","Elaphomyces decipiens","Fungi","2 ",0
"44482","Elaphomyces muricatus","Fungi","3",0
"44483","Endogone oregonensis","Fungi","2 ",0
"44484","Fevansia aurantiaca","Fungi","1",0
"44485","Galerina fuscobrunnea","Fungi","1",0
"44486","Gamundia leucophylla","Fungi","3",0
"44487","Suillus imbellus","Fungi","Prob. Extinct",0
"44488","Gastroboletus ruber","Fungi","3",0
"44489","Gastroboletus vividus","Fungi","2 ",0
"44490","Gautieria magnicellaris","Fungi","5",0
"44491","Gautieria otthii","Fungi","4",0
"44492","Genea compacta","Fungi","2 ",0
"44493","Glomus pubescens","Fungi","2 ",0
"44494","Glomus radiatum","Fungi","4",0
"44432","Turbinellus kauffmanii","Fungi","3",0
"44495","Russula stewartii","Fungi","1",0
"44496","Gymnomyces nondistinctus","Fungi","1",0
"44433","Gymnopilus punctifolius","Fungi","4",0
"44497","Gyromitra californica","Fungi","4",0
"44498","Hebeloma occidentale","Fungi","1",0
"44499","Hebeloma oregonense","Fungi","1",0
"44500","Hebeloma parcivelum","Fungi","1",0
"44501","Hebeloma pungens","Fungi","1",0
"44502","Helvella maculata","Fungi","4",0
"44503","Hemimycena pseudocrispula","Fungi","2 ",0
"44504","Hydnotrya michaelis","Fungi","3",0
"44505","Hydropus marginellus","Fungi","3",0
"44506","Hygrophorus albicarneus","Fungi","1",0
"44507","Hygrophorus albiflavus","Fungi","1",0
"44508","Entoloma caesiocinctum","Fungi","3",0
"44510","Entoloma subeuchroum","Fungi","2 ",0
"44511","Entoloma violaceonigrum","Fungi","2 ",0
"44512","Leucogaster citrinus","Fungi","3",0
"44513","Leucogaster microsporus","Fungi","3",0
"44514","Leucogaster odoratus","Fungi","2 ",0
"44515","Lyophyllum acutipes","Fungi","Prob. Extinct",0
"44516","Lyophyllum chamaeleon","Fungi","Prob. Extinct",0
"44517","Lyophyllum conoideospermum","Fungi","Prob. Extinct",0
"44518","Lyophyllum furfurellum","Fungi","Prob. Extinct",0
"44519","Lyophyllum gracile","Fungi","2 ",0
"49821","Microcylloepus sp. 1","Invertebrates","UNK",0
"44520","Lyophyllum lubricum","Fungi","Prob. Extinct",0
"49822","Neotrichia sp. 2","Invertebrates","UNK",0
"44521","Lyophyllum pallidum","Fungi","Prob. Extinct",0
"49823","Neotrichia sp. 3","Invertebrates","1",0
"44522","Lyophyllum piceum","Fungi","Prob. Extinct",0
"44523","Lyophyllum solidipes","Fungi","Prob. Extinct",0
"44524","Russula chlorineolens","Fungi","3",0
"44525","Russula castellanoi","Fungi","1",0
"44526","Russula aromatica","Fungi","2 ",0
"44527","Russula idahoensis","Fungi","2 ",0
"44528","Russula medlockii","Fungi","1",0
"44529","Mycena gaultheri","Fungi","1",0
"44530","Mycena hudsoniana","Fungi","2 ",0
"44531","Mycena quiniaultensis","Fungi","3",0
"44532","Mycena tenax","Fungi","3",0
"44434","Mythicomyces corneipes","Fungi","3",0
"44535","Octaviania cyanescens","Fungi","2 ",0
"44536","Octaviania macrospora","Fungi","Prob. Extinct",0
"44537","Omphalina isabellina","Fungi","1",0
"44538","Phaeocollybia attenuata","Fungi","3",0
"44435","Phaeocollybia californica","Fungi","3",0
"44436","Phaeocollybia dissiliens","Fungi","2 ",0
"44437","Phaeocollybia gregaria","Fungi","1",0
"44539","Phaeocollybia lilacifolia","Fungi","2 ",0
"44438","Phaeocollybia olivacea","Fungi","3",0
"44439","Phaeocollybia piceae","Fungi","3",0
"44440","Phaeocollybia pseudofestiva","Fungi","3",0
"44540","Phaeocollybia radicata","Fungi","2 ",0
"44441","Phaeocollybia scatesiae","Fungi","3",0
"44442","Phaeocollybia sipei","Fungi","3",0
"44443","Phaeocollybia spadicea","Fungi","4",0
"44541","Stropharia albivelata","Fungi","3",0
"44542","Plectania milleri","Fungi","3",0
"44543","Polyozellus multiplex","Fungi","4",0
"44544","Psathyrella gruberi","Fungi","Prob. Extinct",0
"44545","Psathyrella oregonensis","Fungi","Prob. Extinct",0
"44546","Psathyrella quercicola","Fungi","Prob. Extinct",0
"44547","Psathyrella subcaespitosa","Fungi","Prob. Extinct",0
"44548","Psathyrella wapinitaensis","Fungi","3",0
"44549","Geastrum bushnellii","Fungi","1",0
"44550","Phaeoclavulina abietina","Fungi","4",0
"44551","Ramaria coulterae","Fungi","2 ",0
"44552","Hypotrachyna riparia","Fungi","1",0
"44555","Ramaria suecica","Fungi","5",0
"44556","Ramaria thiersii","Fungi","3",0
"44557","Rhizopogon abietis","Fungi","3",0
"44558","Rhizopogon atroviolaceus","Fungi","2 ",0
"44559","Rhizopogon bacillisporus","Fungi","2 ",0
"44560","Rhizopogon brunneifibrillosus","Fungi","2 ",0
"44561","Rhizopogon brunneiniger","Fungi","2 ",0
"44562","Rhizopogon chamaleontinus","Fungi","2 ",0
"44563","Rhizopogon clavitisporus","Fungi","2 ",0
"44564","Rhizopogon ellipsosporus","Fungi","2 ",0
"44565","Rhizopogon exiguus","Fungi","2 ",0
"44566","Rhizopogon flavofibrillosus","Fungi","2 ",0
"44567","Rhizopogon inquinatus","Fungi","2 ",0
"44568","Rhizopogon masoniae","Fungi","1",0
"44569","Rhizopogon oswaldii","Fungi","2 ",0
"44570","Rhizopogon quercicola","Fungi","2 ",0
"44571","Rhizopogon rogersii","Fungi","2 ",0
"44572","Rhizopogon semireticulatus","Fungi","2 ",0
"44573","Rhizopogon semitectus","Fungi","2 ",0
"44574","Rhizopogon subcinnamomeus","Fungi","2 ",0
"49824","Cicindela sp. 1","Invertebrates","UNK",0
"44575","Rhizopogon subclavitisporus","Fungi","2 ",0
"44576","Rhizopogon subpurpurascens","Fungi","2 ",0
"44577","Rhizopogon subradicatus","Fungi","2 ",0
"44578","Rhizopogon truncatus","Fungi","4",0
"44579","Rhizopogon variabilisporus","Fungi","2 ",0
"44580","Rickenella swartzii","Fungi","4",0
"44581","Sarcodon fuscoindicus","Fungi","3",0
"44582","Pseudosarcosoma latahense","Fungi","3",0
