"","country","empty","hdpe","ldpe","o","pet","pp","ps","pvc","total","num_events","volunteers"
"1","Argentina",128,132,141,212,144,263,62,4,1086,5424,2034
"2","Armenia",0,0,0,0,8,0,0,0,8,4,12
"3","Australia",4,33,222,898,141,361,3,6,1668,621,13110
"4","Bangladesh",0,376,2,1559,299,89,58,0,2383,142,18034
"5","Benin",0,0,0,0,342,0,0,0,342,4,916
"6","Brazil",0,114,572,376,417,548,208,22,2257,88,1716
"7","Bulgaria",8,11,34,125,74,199,15,14,480,105,750
"8","Burkina Faso",0,267,20,3623,4664,68,90,42,8774,15,2445
"9","Canada",0,117,611,440,283,277,159,0,1887,129,559
"10","Chile",0,211,226,700,456,383,43,14,2033,363,1573
"11","China",0,2,0,2204,126,0,0,0,2332,216,469800
"12","Colombia",18,357,413,1582,3549,278,3,15,6215,250,6850
"13","Denmark",0,68,22,4343,48,149,162,1,4793,2184,22022
"14","Ecuador",8,0,0,1,176,19,1,68,273,44,242
"15","El Salvador",0,2,180,53,185,318,182,0,920,5,50
"16","France",0,10,73,2550,141,65,131,20,2990,123,615
"17","Germany",10,2,210,4790,102,95,7,0,5216,19,456
"18","Ghana",0,220,291,0,8272,0,0,0,8783,52,8060
"19","Greece",0,0,6,26,4,3,0,0,NA,18,657
"20","Honduras",0,0,0,1,1,0,0,0,2,2,24
"21","India",22,489,6684,7369,895,1107,67,340,16973,19488,122844
"22","Indonesia",7,1304,1461,1473,2818,2912,145,36,10156,14700,115248
"23","Ireland",0,0,0,141,87,46,3,2,279,80,140
"24","Italy",0,10,1,20,267,8,3,0,309,48,2464
"25","Japan",207,0,0,43,3,4,3,5,265,5,15
"26","Kenya",0,340,61,294,7797,364,0,0,8856,114,23104
"27","Korea",4,8,111,1235,68,133,96,2,1663,2782,NA
"28","Kuwait",0,37,30,618,53,124,40,33,935,19,57
"29","Latvia",0,6,9,389,46,86,4,0,540,71,355
"30","Lithuania",0,109,3,487,41,251,55,1,947,19,285
"31","Malaysia",0,140,86,2909,2612,549,129,14,6439,7245,76590
"32","Mexico",42,134,288,421,694,535,269,43,2426,1888,4897
"33","Montenegro",101,0,225,21,664,1,50,5,1067,15,6240
"34","Netherlands",0,0,94,429,17,26,4,3,573,11,55
"35","Nigeria",316,7532,15470,8284,27390,2234,2011,16,63253,6030,703165
"36","Peru",0,26,97,289,81,109,37,1,640,46,1035
"37","Philippines",344,82,3939,4272,2949,41987,600,1011,55184,2040,109800
"38","Portugal",3,2594,1184,4157,72,388,7,1,8406,64,2080
"39","Romania",0,0,0,51,37,0,1,0,89,4,28
"40","Serbia",0,0,0,234,293,3,0,0,530,9,117
"41","Singapore",0,15,0,0,80,0,0,0,95,8,32
"42","Slovenia",0,11,132,306,76,62,9,3,599,62,4340
"43","South Africa",0,79,0,8,770,0,0,0,857,6,120
"44","Spain",0,123,132,326,134,29,244,15,1003,231,5964
"45","Sri Lanka",0,0,0,15,7,0,0,0,NA,11,440
"46","Switzerland",2342,102,1528,45612,1018,902,722,51,52277,1746,52380
"47","Tanzania",2,113,3,2781,4106,264,49,0,7318,315,57099
"48","Thailand",0,312,2,971,1108,75,109,106,2683,531,19883
"49","Togo",0,0,0,11233,759,0,2,0,11994,5,460
"50","Tunisia",17,167,615,541,596,362,6,15,2319,18,441
"51","Ukraine",0,428,509,3700,1835,1195,208,15,7890,4420,61880
"52","United Arab Emirates",1,0,0,0,0,0,0,0,1,1,12
"53","United Kingdom of Great Britain & Northern Ireland",3,153,752,1069,480,942,1122,101,4622,600,6750
"54","United States of America",475,654,825,4485,3103,3513,757,179,NA,50384,192136
"55","Vietnam",112,212,198,4779,1516,394,1587,11,8809,768,3456
