"speciesid","Year","spending"
"49476",2015,461812.869620253
"49476",2016,615705.4975
"49477",2015,422095.293670886
"49477",2016,471121.0075
"11",2014,956187.18504436
"11",2015,917124.901265823
"11",2016,1014963.185
"11",1996,851367.112810707
"11",1997,353142.523364486
"11",1998,1879.60122699387
"11",1999,3677.97118847539
"11",2000,3558.36236933798
"11",2001,34599.0965556183
"11",2002,10155.5052807115
"11",2003,271604.101630435
"11",2004,246679.071995765
"11",2005,1702692.00460829
"11",2006,4887527.42857143
"11",2007,2604870.30390738
"11",2008,2316470.49558755
"11",2009,3467920.47132867
"11",2010,3170625.28748281
"11",2011,3803165.15162294
"11",2012,5998354.93118467
"11",2013,27227943.3540773
"54",2015,906819.325316456
"54",2016,1073823.95
"84",2014,51774.3979721166
"84",2015,827.341772151899
"84",2016,1838.25
"84",1996,87479.9235181644
"84",1997,58793.4579439252
"84",1998,51876.9938650307
"84",1999,29423.7695078031
"84",2000,0
"84",2001,138.396386222473
"84",2002,136.242356864925
"84",2003,3543.29347826087
"84",2004,1323.46214928534
"84",2005,6124.36251920123
"84",2006,8794.90773809524
"84",2007,6655.41678726483
"84",2008,569.205759405481
"84",2009,571.328671328671
"84",2010,2359.97248968363
"84",2011,544.908848377056
"84",2012,1067.50871080139
"84",2013,648139.073819742
"94",2014,1064503.36755387
"94",2015,1619395.34936709
"94",2016,913666.41875
"94",1996,67671.9694072658
"94",1997,17500.5981308411
"94",1998,92025.2760736196
"94",1999,460334.87394958
"94",2000,15130.1567944251
"94",2001,5000.26143421796
"94",2002,18528.9605336298
"94",2003,52027.8032608696
"94",2004,61295.760190577
"94",2005,92859.3917050691
"94",2006,459348.523809524
"94",2007,234949.573082489
"94",2008,171213.677194612
"94",2009,79085.6
"94",2010,188281.976616231
"94",2011,140146.196531792
"94",2012,1130997.7238676
"94",2013,911417.499141631
"127",2014,7089621.56653992
"127",2015,5108128.06582278
"127",2016,4537575.1075
"127",1996,1981810.80305927
"127",1997,1975567.08411215
"127",1998,1675100.61349693
"127",1999,7016583.33133253
"127",2000,5623536.2543554
"127",2001,6770594.79164314
"127",2002,4484481.21011673
"127",2003,4568697.30163043
"127",2004,5733401.51720487
"127",2005,7130196.19354839
"127",2006,4563112.77678571
"127",2007,4411141.4341534
"127",2008,5599189.39758477
"127",2009,5833337.72167832
"127",2010,5834412.76891334
"127",2011,7402260.84971098
"127",2012,5728656.32796167
"127",2013,6865953.69012875
"131",2014,277988.133079848
"131",2015,318173.927848101
"131",2016,115630.01
"131",1996,4686.42447418738
"131",1997,53448.5981308411
"131",1998,206756.134969325
"131",1999,96362.8451380552
"131",2000,54087.1080139373
"131",2001,232259.583286279
